COMPONENT;KEY;EN;NL
DEF;total equity and liabilities;total equity and liabilities;totaal passiva
DEF;profit and loss account;profit and loss account;resultatenrekening
DEF;net sales;Net sales;netto omzet
DEF;change in inventories;change in inventories;voorraadmutaties
DEF;cost of sales;cost of sales;inkoopwaarde
DEF;trade cost of sales;trade cost of sales;inkoopwaarde
DEF;cost of materials;cost of materials;materiaal en grondstoffen
DEF;purchase discounts and bonuses;purchase discounts and bonuses;inkoopkortingen en bonussen
DEF;carriage and forwarding charges;carriage and forwarding charges;vracht- en verzendkosten
DEF;other cost of sales;other cost of sales;overige direkte inkoopkosten
DEF;contracted out purchase;contracted out purchase;kosten uitbesteed werk
DEF;other operating income;other operating income;overige bedrijfsopbrengsten
DEF;operating expenses;Operating expenses;Operationele kosten
DEF;contracted out;contracted out;kosten uitbesteed werk
DEF;personnel expenses;personnel expenses;personeelskosten
DEF;production expenses;production expenses;exploitatiekosten
DEF;furniture and fixture expenses;furniture and fixture expenses;inventariskosten
DEF;office expenses;office expenses;huisvestingskosten
DEF;transportation expenses;transportation expenses;autokosten
DEF;selling expenses;selling expenses;verkoopkosten
DEF;monitoring and control expenses;monitoring and control expenses;algemene kosten
DEF;other operating expenses;other operating expenses;overige kosten
DEF;depreciation of assets;depreciation of assets;afschrijvingen
DEF;depreciation of;depreciation of;afschrijving op
DEF;operating income;operating income;bedrijfsresultaat
DEF;financial result;financial result;financiële baten en lasten
DEF;financial income;financial income;financiële baten
DEF;financial expenses;financial expenses;financiële lasten
DEF;ordinary profit before taxes;ordinary profit before taxes;gewoon resultaat voor belasting
DEF;extraordinary income and expenses;extraordinary income and expenses;buitengewone baten en lasten
DEF;extraordinary income;extraordinary income;buitengewone baten
DEF;extraordinary expenses;extraordinary expenses;buitengewone lasten
DEF;taxes on extraordinary income and expenses;taxes on extraordinary income and expenses;belasting buitengewoon resultaat
DEF;tax on profits;tax on profits;winstbelasting
DEF;share result from subsidiaries;share result from subsidiaries;aandeel resultaat deelnemingen
DEF;share result minority interest;share result minority interest;aandeel van derden in resultaat
DEF;profit after tax;profit after tax;resultaat
DEF;Download and/or send;Download and/or send;Downloaden en/of Verzenden
DEF;Send credit application;Send credit application;Verzenden kredietaanvraag
DEF;FRBReport-ScaleLabelFAM;All amounts in;Alle bedragen in
DEF;social security premiums payable;social security premiums payable;te betalen sociale lasten
DEF;unspecified  gross profit;unspecified  gross profit;ongespecificeerde brutomarge
scorecard;Loan;Loan;Lening
scorecard;CreditFacility;Credit facility;Rekening Courant
scorecard;Lease;Lease;Lease
scorecard;Factoring;Factoring;Factoring
scorecard;MortgageLoan;MortgageLoan;Hypothecair krediet
scorecard;EquityFinance;EquityFinance;Aandelenparticipatie
DEF;1:Research and development|2:Growth and expansion|3:International Expansion|4:Debtors|5:Stock|6:Inventory and machines|7:Transport|8:Real estate for own use|9:Commercial real estate |10:Start-up|11:Corporate takeover|12:Refinancing|13:Goodwill;1:Research and development|2:Growth and expansion|3:International Expansion|4:Debtors|5:Stock|6:Inventory and machines|7:Transport|8:Real estate for own use|9:Commercial real estate |10:Start-up|11:Corporate takeover|12:Refinancing|13:Goodwill;1:Onderzoek en ontwikkeling|2:Groei en uitbreiding|3:Internationalisering|4:Debiteuren|5:Voorraad|6:Inventaris en machines|7:Transportmiddelen|8:Bedrijfspand voor eigen gebruik|9:Vastgoed voor verhuur |10:Starten onderneming|11:Bedrijfsovername|12:Herfinanciering|13:Goodwill
DEF;Sale and lease back;Sale and lease back;Verkoop en terugleasen
DEF;Leasing to a third party?;Leasing to a third party?;Doorverhuur
DEF;Foreign Licence;Foreign Licence;Buitenlandse kenteken registratie
DEF;Foreign Legal Entity;Foreign Legal Entity;Buitenlandse rechtsvorm
DEF;Entity 'Under Construction';Entity 'Under Construction';Rechtsvorm 'In oprichting'
DEF;Stationed in a foreign country;Stationed in a foreign country;In buitenland gevestigd
DEF;Object is stationary in a foreign country;Object is stationary in a foreign country;Locatie object buitenland
DEF;Download and/or send your application;Download and/or send your application;Download en/of verstuur uw financieringsaanvraag
DEF;Download your application;Download your application;Download uw financieringsaanvraag
DEF;Productname;Product name;Productnaam
DEF;Name of financier;Financier;Financier
DEF;Product description;Description;Omschrijving
DEF;Producttype;Type;Type
DEF;Specification Equity Finance;Specification Equity Finance;Specificatie aandelenparticipatie
DEF;Percentages of shares to sell for compensation;Percentages of shares to sell for compensation;Aandelenpercentage te verkopen als tegenprestatie
DEF;Are there new shares issued?;Are there new shares issued?;Worden er nieuwe aandelen uitgegeven?
DEF;Number of newly issued shares of the company;Number of newly issued shares of the company;Aantal nieuw uit te geven aandelen
DEF;Please give a description of the dividend policy;Please give a description of the dividend policy;Geef een omschrijving van het dividendbeleid van de onderneming
DEF;Please give a description of the exit strategies;Please give a description of the exit strategies;Geef een omschrijving van de mogelijke exitstrategieën
DEF;Shares;Shared capital;Aandelenkapitaal
DEF;Operational;Operational;Operationeel
DEF;Transport, inventory and machines;Transport, inventory and machines;Transport, inventaris en machines
DEF;Accounts receivables;Accounts receivables;Debiteuren
DEF;List of debtors;List of debtors;Debiteurenlijst
DEF;Agreements with debtors(when available);Agreements with debtors(when available);Debiteurenovereenkomsten (indien beschikbaar)
DEF;Order, proof of delivery, CMR-document or timesheet;Order, proof of delivery, CMR-document or timesheet;Order, afleverbewijs, urenbriefje of CMR document horende bij de Voorbeeld factuur (indien aanwezig)
DEF;Are the accounts receivables already pledged?;Are the accounts receivables already pledged?;Zijn de debiteuren al eerder verpand?
DEF;Unspecified gross profit;Unspecified gross profit;Ongespecificeerde brutowinst
DEF;Is there revenue coming through card transactions or via webshop;Is there revenue coming through card transactions or via webshop;Komt er omzet binnen middels pintransacties of via een webshop?
DEF;List of creditors;List of creditors;Crediteurenlijst
DEF;Revenue by card transactions or webshop;Revenue by card transactions or webshop;Bewijs van PIN/WEB omzet laatste 6 of 12 maanden
DEF;Proof of rental payment;Proof of rental payment;Bewijs van zakelijke huurbetaling (indien huur)
DEF;Proof of Dutch residence owner;Proof of Dutch residence owner;Bewijs van vaste woonplaats eigenaar/aandeelhouder
DEF;I.E. copy of the payment of the utity bills;I.E. copy of the payment of the utity bills;Bijvoorbeeld bewijs van betaling gas/water/licht 
DEF;Statement payment behavior;Statement payment behavior;Verklaring betalingsgedrag keten- en inlenersaansprakelijkheid(WKA)
DEF;MT 940 bankfile last 12 months;MT 940 bankfile last 12 months;MT 940 bankafschrift van de laatste 12 maanden
DEF;VAT declaration last 4 quarters;VAT declaration last 4 quarters;BTW aangifte laatste 4 kwartalen
DEF;FRBReport-FAMTitle;Credit application;Financieringsaanvraag
DEF;Signatories of the organisation;Signatories of the organisation;Tekenbevoegden van de organisatie
DEF;Please give a description of the signatories of the organisation;Please give a description of the signatories of the organisation;Geef een beschrijving van de tekenbevoegden van de organisatie
DEF;Signatory;Signatory;Tekenbevoegde
DEF;Initials;Initials;Initialen
DEF;Name;Name;Naam
DEF;Prefix ;Prefix ;Tussenvoegsel
DEF;Surname;Surname;Voornaam
DEF;Date of birth;Date of birth;Geboortedatum
DEF;Email;Email;Email
DEF;Signatory has partner;Signatory has partner;Tekenbevoegde heeft een partner
DEF;Initials partner;Initials partner;Initialen partner
DEF;Name partner;Name partner;Naam partner
DEF;Prefix partner;Prefix partner;Tussenvoegsel partner
DEF;Surname partner;Surname partner;Voornaam partner
DEF;Date of birth partner;Date of birth partner;Geboortedatum partner
DEF;Email partner;Email partner;Email partner
DEF;Organisation ownership;Organisation ownership;Eigendom van de organisatie
DEF;Please give a description of organisation ownership;Please give a description of organisation ownership;Geef een beschrijving van de eigendomsstructuur van de organisatie
DEF;Owner;Owner;Eigenaar
DEF;Person or organisation;Person or organisation;Persoon of organisatie
DEF;Ownership percentage;Ownership percentage;Eigendomspercentage
DEF;Organisation subsidiaries;Organisation subsidiaries;Dochterondernemingen van de organisatie
DEF;Please give a description of the subsidiaries of the organisation;Please give a description of the subsidiaries of the organisation;
DEF;Subsidiary;Subsidiary;Dochteronderneming 
DEF;Name;Name;Naam
DEF;Ownership percentage;Ownership percentage;Perentage in eigendom
DEF;Pledged security;Pledged security;Verpande zekerheid
DEF;Second AnnualStatement (optional);Second AnnualStatement (optional);Tweede jaarverslag (optioneel)
DEF;Others (optional);Others (optional);Overige (optioneel)
DEF;Select scenario;Select scenario;Selecteer scenario
DEF;Total amount;Total amount;Contractuele obligo
DEF;Amount due;Amount due;Resterend obligo
DEF;Remaining term;Remaining term;Resterende looptijd
DEF;Photo of entrepreneur or company;Photo of entrepreneur or company;Foto van ondernemer of bedrijf
DEF;Photo of financinggoal;Photo of financing goal;Foto van het financieringsdoel
DEF;Crowdfunding;Crowdfunding;Crowdfunding
DEF;Why entrepreneur;Why does the entrepreneur want his own business?;Waarom wil de ondernemer voor zichzelf beginnen?
DEF;Why crowdfunding;Why does the entrepreneur want to start a crowdfunding campaign?;Waarom wil de ondernemer financieren via crowdfunding?
DEF;How to repay crowdfunding;How will the entrepreneur repay the loan? How is the entrepreneur able to meet the payment obligation?;Hoe denkt de ondernemer gedurende of aan het eind van de looptijd de lening af te lossen? Hoe is de ondernemer in staat om aan de betalingsverplichting te voldoen?
DEF;Video crowdfunding campaign;Presentation (link to video);Presentatie (link naar video)
